review_id,user_name,review_text,rating,thumbs_up_count,review_created_version,app_version,review_date,developer_reply,developer_reply_date,brand,platform,lang_param,country_param,scraped_at
65bb82a3-9a08-4610-9690-df3b7297de34,Abdul Haseeb,Great App to play practice and learn basics of Chess,5,0,4.9.32-googleplay,4.9.32-googleplay,2026-04-11 23:37:13,Thank you for your 5-star rating! Players like you make Chess.com possible!,2026-04-13 05:14:35,Chess.com,Google Play,en,us,2026-04-17 17:55:05
e281a04a-0467-4c12-b7cc-35f15eebc211,Rotciv Ikias,"I have no major complaints, it gets the job done",4,0,4.9.23-googleplay,4.9.23-googleplay,2026-04-11 23:13:01,"Thank you for your review! If you have suggestions on how the Chess.com app could improve, please share them with us. We aim for the app to earn a 5-star rating from you! You can submit feedback at: www.chess.com/support",2026-04-14 23:27:26,Chess.com,Google Play,en,us,2026-04-17 17:55:05
70b33c2b-8e21-44d6-95a5-e857b8cb2794,Trymore Katena,This is the best of ever🤩💪,5,0,,,2026-04-11 23:10:47,Thank you for your review. We're happy to hear you're enjoying Chess.com!,2026-04-13 05:14:34,Chess.com,Google Play,en,us,2026-04-17 17:55:05
0a919c19-d8ac-4442-8220-87f3ed7e3dee,BattleAxeRX,now there are ads to promote premium. it's so toxic i am investigating a different app.,1,0,4.9.32-googleplay,4.9.32-googleplay,2026-04-11 23:03:58,"Ads should not display during live chess games, but an ad may display after playing a move in your Daily Chess game. We don't love ads, but they are what allow us to keep the game free, to innovate, and to create major chess events. For an ad-free experience as well as access to amazing training, make sure to sign up for the free trial!",2026-03-30 11:12:16,Chess.com,Google Play,en,us,2026-04-17 17:55:05
0a0a2dc6-7ac1-45c1-8615-4a5430a9b976,Gianella Ciccia,You have to pay for everything once you get 5 game reviews you have to pay even tho it's 0 it's still annoying im try na learn from a coach but your taking that away.,1,0,4.9.32-googleplay,4.9.32-googleplay,2026-04-11 22:53:17,"Thank you for your feedback. We recognize it's an investment, but we genuinely believe in the value of our training tools for players committed to enhancing their chess skills. If you're interested in exploring everything Chess.com provides, be sure to take advantage of the free trial!",2026-04-15 04:43:35,Chess.com,Google Play,en,us,2026-04-17 17:55:05
4ddb90a4-3b49-4e55-9e12-16aa8b98e35c,davou shak,"why can't I multi task when using this app I was ahead in a game, I switched to my music app to change a song for less than 2 minutes , came back and it was said that I abandoned the game do you know how invested I was in that game? please fix that immediately",3,0,4.9.22-googleplay,4.9.22-googleplay,2026-04-11 22:35:18,"Thank you for your feedback! If a disconnection occurs or if the app is minimized, the game will end early. This is designed to prevent unnecessary waiting if a player has left the game. For more information on ""game abandonment"" and tips to optimize connectivity, please visit: www.chess.com/support",2026-04-15 04:43:34,Chess.com,Google Play,en,us,2026-04-17 17:55:05
9002d61f-6d04-4880-8580-12e35fae06a0,Norbert,Love the AI reviews!!,5,0,4.9.32-googleplay,4.9.32-googleplay,2026-04-11 22:25:23,We're pleased you enjoy the Chess.com app. Thank you for your 5-star review!,2026-04-13 05:14:29,Chess.com,Google Play,en,us,2026-04-17 17:55:05
618b13a6-a431-43c8-b03c-104fdd557096,Sinelitha,Best there is,5,0,4.9.30-googleplay,4.9.30-googleplay,2026-04-11 21:50:59,Your support is invaluable to us. Thank you for being a part of Chess.com!,2026-04-13 05:14:21,Chess.com,Google Play,en,us,2026-04-17 17:55:05
ac273b05-d2ac-45e7-a270-1a5b267cf6be,Anotidaishe Murota,best game for all chess players,5,0,4.9.30-googleplay,4.9.30-googleplay,2026-04-11 21:39:26,We are pleased you enjoy the Chess.com app. Thank you for your 5-star review!,2026-04-13 05:14:24,Chess.com,Google Play,en,us,2026-04-17 17:55:05
7b7a4b59-ef80-4a07-9acd-a04934fec23e,Gregogio Martinezz,no words needed to be said,5,0,4.9.32-googleplay,4.9.32-googleplay,2026-04-11 21:15:21,Thank you for sharing your passion for chess on Chess.com!,2026-04-13 05:14:18,Chess.com,Google Play,en,us,2026-04-17 17:55:05
