Plataforma,theme_code,Tema,n_reseñas,pct_dentro_plataforma,rating_medio,pct_1_2_estrellas,pct_4_5_estrellas,helpful_votes_media
Chess.com,puzzles_learning,Puzles y aprendizaje,152,10.133333333333333,4.197368421052632,13.815789473684212,80.92105263157895,2.0526315789473686
Chess.com,gameplay_matchmaking,Jugabilidad y emparejamiento,96,6.4,3.2083333333333335,39.58333333333333,53.125,2.5520833333333335
Chess.com,ads_pricing_premium,"Anuncios, precio y premium",71,4.733333333333333,3.3098591549295775,35.2112676056338,59.154929577464785,4.211267605633803
Chess.com,community_tournaments_social,"Comunidad, torneos y social",49,3.266666666666666,3.9183673469387754,20.408163265306122,73.46938775510205,0.3877551020408163
Chess.com,performance_stability,"Rendimiento, estabilidad y fallos",46,3.0666666666666664,2.0434782608695654,67.3913043478261,23.91304347826087,0.6304347826086957
Chess.com,fair_play_moderation,"Fair play, trampas y moderación",36,2.4,1.5,88.88888888888889,8.333333333333332,1.1666666666666667
Chess.com,account_access,Cuenta y acceso,33,2.1999999999999997,2.0303030303030303,69.6969696969697,24.242424242424242,0.5454545454545454
Chess.com,analysis_tools,Análisis y herramientas,30,2.0,3.7666666666666666,20.0,70.0,2.7666666666666666
Chess.com,interface_usability,Interfaz y usabilidad,27,1.7999999999999998,3.6296296296296298,25.925925925925924,74.07407407407408,0.18518518518518517
Chess.com,updates_version_changes,Actualizaciones y cambios de versión,23,1.5333333333333332,3.260869565217391,30.434782608695656,47.82608695652174,0.6086956521739131
Chess.com,developer_support,Soporte y respuesta del desarrollador,18,1.2,2.3333333333333335,66.66666666666666,27.77777777777778,2.611111111111111
Lichess,updates_version_changes,Actualizaciones y cambios de versión,195,13.0,2.8205128205128207,47.179487179487175,40.51282051282051,7.825641025641025
Lichess,puzzles_learning,Puzles y aprendizaje,190,12.666666666666668,3.942105263157895,19.473684210526315,71.05263157894737,7.136842105263158
Lichess,interface_usability,Interfaz y usabilidad,169,11.266666666666666,3.1183431952662723,40.828402366863905,47.337278106508876,6.491124260355029
Lichess,gameplay_matchmaking,Jugabilidad y emparejamiento,159,10.6,2.591194968553459,52.83018867924528,35.22012578616352,6.270440251572327
Lichess,analysis_tools,Análisis y herramientas,152,10.133333333333333,3.5921052631578947,23.684210526315788,57.89473684210527,9.598684210526315
Lichess,community_tournaments_social,"Comunidad, torneos y social",105,7.000000000000001,3.1714285714285713,38.095238095238095,47.61904761904761,4.752380952380952
Lichess,performance_stability,"Rendimiento, estabilidad y fallos",102,6.800000000000001,2.0098039215686274,67.64705882352942,20.588235294117645,7.931372549019608
Lichess,account_access,Cuenta y acceso,92,6.133333333333333,1.9130434782608696,75.0,15.217391304347828,3.1956521739130435
Lichess,ads_pricing_premium,"Anuncios, precio y premium",52,3.4666666666666663,4.711538461538462,3.8461538461538463,92.3076923076923,8.403846153846153
Lichess,fair_play_moderation,"Fair play, trampas y moderación",50,3.3333333333333335,1.46,88.0,8.0,1.98
Lichess,developer_support,Soporte y respuesta del desarrollador,17,1.1333333333333333,2.8823529411764706,52.94117647058824,47.05882352941176,3.823529411764706
