theme,theme_es,average_rating_chesscom,average_rating_lichess,n_reviews_chesscom,n_reviews_lichess,share_of_reviews_chesscom,share_of_reviews_lichess,share_diff_chesscom_minus_lichess,overrepresentation_ratio_chesscom_vs_lichess,rating_diff_chesscom_minus_lichess,dataset_type
account_access,Cuenta y acceso,2.0303030303030303,1.9130434782608696,33.0,92.0,0.022,0.06133333333333333,-0.03933333333333333,0.358695652173913,0.11725955204216065,comparable_final_3000
ads_pricing_premium,"Anuncios, precio y premium",3.3098591549295775,4.711538461538462,71.0,52.0,0.04733333333333333,0.034666666666666665,0.012666666666666666,1.3653846153846154,-1.4016793066088842,comparable_final_3000
analysis_tools,Análisis y herramientas,3.7666666666666666,3.5921052631578947,30.0,152.0,0.02,0.10133333333333333,-0.08133333333333333,0.19736842105263158,0.17456140350877192,comparable_final_3000
community_tournaments_social,"Comunidad, torneos y social",3.9183673469387754,3.1714285714285713,49.0,105.0,0.03266666666666666,0.07,-0.03733333333333334,0.46666666666666656,0.7469387755102042,comparable_final_3000
developer_support,Soporte y respuesta del desarrollador,2.3333333333333335,2.8823529411764706,18.0,17.0,0.012,0.011333333333333334,0.0006666666666666661,1.0588235294117647,-0.5490196078431371,comparable_final_3000
fair_play_moderation,"Fair play, trampas y moderación",1.5,1.46,36.0,50.0,0.024,0.03333333333333333,-0.009333333333333332,0.72,0.040000000000000036,comparable_final_3000
gameplay_matchmaking,Jugabilidad y emparejamiento,3.2083333333333335,2.591194968553459,96.0,159.0,0.064,0.106,-0.041999999999999996,0.6037735849056604,0.6171383647798745,comparable_final_3000
interface_usability,Interfaz y usabilidad,3.6296296296296298,3.1183431952662723,27.0,169.0,0.018,0.11266666666666666,-0.09466666666666666,0.15976331360946744,0.5112864343633574,comparable_final_3000
performance_stability,"Rendimiento, estabilidad y fallos",2.0434782608695654,2.0098039215686274,46.0,102.0,0.030666666666666665,0.068,-0.03733333333333334,0.4509803921568627,0.033674339300937994,comparable_final_3000
puzzles_learning,Puzles y aprendizaje,4.197368421052632,3.942105263157895,152.0,190.0,0.10133333333333333,0.12666666666666668,-0.025333333333333347,0.7999999999999999,0.2552631578947371,comparable_final_3000
updates_version_changes,Actualizaciones y cambios de versión,3.260869565217391,2.8205128205128207,23.0,195.0,0.015333333333333332,0.13,-0.11466666666666667,0.11794871794871793,0.4403567447045704,comparable_final_3000
account_access,Cuenta y acceso,2.5357142857142856,2.4615384615384617,56.0,13.0,0.02041560335399198,0.09154929577464789,-0.07113369242065591,0.22300120586668162,0.07417582417582391,fixed_window_2026-03-11_to_2026-04-11
ads_pricing_premium,"Anuncios, precio y premium",2.3846153846153846,4.777777777777778,234.0,9.0,0.08530805687203792,0.06338028169014084,0.021927775181897077,1.3459715639810428,-2.393162393162393,fixed_window_2026-03-11_to_2026-04-11
analysis_tools,Análisis y herramientas,2.8358208955223883,4.090909090909091,67.0,11.0,0.024425811155668976,0.07746478873239436,-0.053038977576725384,0.3153150167368177,-1.2550881953867026,fixed_window_2026-03-11_to_2026-04-11
community_tournaments_social,"Comunidad, torneos y social",3.731707317073171,3.3076923076923075,123.0,13.0,0.044841414509660955,0.09154929577464789,-0.046707881264986935,0.48980622002860424,0.42401500938086345,fixed_window_2026-03-11_to_2026-04-11
developer_support,Soporte y respuesta del desarrollador,2.108695652173913,,46.0,,0.016769959897921984,,,,,fixed_window_2026-03-11_to_2026-04-11
fair_play_moderation,"Fair play, trampas y moderación",1.7701149425287357,1.0909090909090908,87.0,11.0,0.031717098067808966,0.07746478873239436,-0.045747690664585394,0.4094389023298976,0.6792058516196449,fixed_window_2026-03-11_to_2026-04-11
gameplay_matchmaking,Jugabilidad y emparejamiento,3.1181434599156117,2.642857142857143,237.0,14.0,0.08640174990885892,0.09859154929577464,-0.012189799386915723,0.8763606062184263,0.4752863170584689,fixed_window_2026-03-11_to_2026-04-11
interface_usability,Interfaz y usabilidad,2.9791666666666665,3.0,48.0,13.0,0.017499088589135983,0.09154929577464789,-0.0740502071855119,0.19114389074286994,-0.02083333333333348,fixed_window_2026-03-11_to_2026-04-11
performance_stability,"Rendimiento, estabilidad y fallos",2.263888888888889,2.125,72.0,8.0,0.026248632883703972,0.056338028169014086,-0.030089395285310114,0.4659132336857455,0.13888888888888884,fixed_window_2026-03-11_to_2026-04-11
puzzles_learning,Puzles y aprendizaje,4.1650165016501655,4.285714285714286,303.0,21.0,0.11046299671892089,0.14788732394366197,-0.03742432722474108,0.7469402635279413,-0.12069778406412013,fixed_window_2026-03-11_to_2026-04-11
updates_version_changes,Actualizaciones y cambios de versión,2.613861386138614,3.7142857142857144,101.0,14.0,0.03682099890630696,0.09859154929577464,-0.06177055038946768,0.37347013176397065,-1.1004243281471005,fixed_window_2026-03-11_to_2026-04-11
