theme,theme_es,description_es,patterns_joined
analysis_tools,Análisis y herramientas,"Referencias a análisis postpartida, motor, evaluación, estudio y herramientas analíticas",\banalysis\b | \banalyze\b | \banalyse\b | \banalysing\b | \bengine\b | \bstockfish\b | \beval\b | \bevaluation\b | \bgame review\b | \banalysis board\b | \bpgn\b | \bimport games?\b
puzzles_learning,Puzles y aprendizaje,"Puzles, lecciones, entrenamiento, estudio y aprendizaje",\bpuzzle\b | \bpuzzles\b | \blesson\b | \blessons\b | \blearn\b | \blearning\b | \btraining\b | \bpractice\b | \bstudy\b | \bstudying\b | \bopening\b | \bopenings\b | \bdrills?\b | \bcoach\b
gameplay_matchmaking,Jugabilidad y emparejamiento,"Jugabilidad, ritmo de partida, rating, bots y emparejamiento",\bmatchmaking\b | \bopponent\b | \bopponents\b | \bpairing\b | \brated\b | \brating\b | \belo\b | \bblitz\b | \bbullet\b | \brapid\b | \bclassical\b | \bbot\b | \bbots\b | \btime control\b | \bpair(ed|ing)?\b | \bgameplay\b
performance_stability,"Rendimiento, estabilidad y fallos","Lag, bugs, crashes, problemas de carga y estabilidad",\bcrash\b | \bcrashes\b | \bcrashed\b | \bbug\b | \bbugs\b | \blag\b | \blaggy\b | \bslow\b | \bfreeze\b | \bfreezes\b | \bglitch\b | \bglitches\b | \bloading\b | \bdisconnect\b | \bconnection\b | \bserver\b | \bnot working\b | \bbroken\b
interface_usability,Interfaz y usabilidad,"Diseño, interfaz, navegación, facilidad de uso y experiencia general de uso",\bui\b | \bux\b | \binterface\b | \bdesign\b | \blayout\b | \bnavigation\b | \buser friendly\b | \beasy to use\b | \bhard to use\b | \bconfusing\b | \bclean\b | \bintuitive\b | \bmenu\b | \bmenus\b
account_access,Cuenta y acceso,"Login, email, contraseña, verificación y acceso a la cuenta",\blogin\b | \blog in\b | \bsign in\b | \baccount\b | \bpassword\b | \bemail\b | \bverification\b | \bverify\b | \baccess\b | \bcredentials?\b | \busername\b
fair_play_moderation,"Fair play, trampas y moderación","Cheating, bans, reports, moderación y fair play",\bcheat\b | \bcheats\b | \bcheater\b | \bcheaters\b | \bcheating\b | \bfair play\b | \breport\b | \breported\b | \bban\b | \bbanned\b | \bmoderation\b | \bmoderator\b
ads_pricing_premium,"Anuncios, precio y premium","Ads, premium, suscripción, paywall y precio",\bad\b | \bads\b | \badvert\b | \badvertisement\b | \bpremium\b | \bsubscription\b | \bsubscribe\b | \bpaywall\b | \bpaid\b | \bprice\b | \bpricing\b | \bmembership\b | \bdiamond\b | \bgold\b | \bplatinum\b
community_tournaments_social,"Comunidad, torneos y social","Torneos, clubes, comunidad, chat, amigos y equipos",\btournament\b | \btournaments\b | \barena\b | \bclub\b | \bclubs\b | \bcommunity\b | \bchat\b | \bfriends?\b | \bteam\b | \bteams\b | \bsocial\b
updates_version_changes,Actualizaciones y cambios de versión,"Updates, cambios de versión, legacy y upgrades",\bupdate\b | \bupdates\b | \bupdated\b | \bupdating\b | \bversion\b | \blegacy\b | \bbeta\b | \bupgrade\b | \bupgraded\b | \bnew version\b | \bold version\b
developer_support,Soporte y respuesta del desarrollador,"Soporte, atención al usuario y respuesta del desarrollador",\bsupport\b | \bdeveloper response\b | \bdevelopers?\b | \bhelp desk\b | \bcustomer service\b | \bresponse\b
overall_appraisal,Valoración general,Valoraciones generales no funcionales sobre la app,\bbest app\b | \bgreat app\b | \bgood app\b | \bawesome app\b | \blove this app\b | \bexcellent app\b | \bterrible app\b | \bbad app\b | \bworst app\b | \bvery good\b | \bvery bad\b
